kraken_pair_name,pair_in,pair_out,pair_in_kraken,pair_out_kraken,activePair
ADACAD,ADA,CAD,ADA,CAD,false
ADAETH,ADA,ETH,ADA,ETH,true
ADAEUR,ADA,EUR,ADA,EUR,true
ADAUSD,ADA,USD,ADA,USD,true
ADAXBT,ADA,XBT,ADA,XBT,true
ATOMXBT,ATOM,XBT,ATOM,XBT,true
ATOMETH,ATOM,ETH,ATOM,ETH,true
ATOMEUR,ATOM,EUR,ATOM,EUR,true
ATOMUSD,ATOM,USD,ATOM,USD,true
BATETH,BAT,ETH,BAT,ETH,true
BATEUR,BAT,EUR,BAT,EUR,true
BATUSD,BAT,USD,BAT,USD,true
BATXBT,BAT,XBT,BAT,XBT,true
BCHEUR,BCH,EUR,BCH,EUR,true
BCHUSD,BCH,USD,BCH,USD,true
BCHXBT,BCH,XBT,BCH,XBT,true
DAIEUR,DAI,EUR,DAI,EUR,true
DAIUSD,DAI,USD,DAI,USD,true
DAIUSDT,DAI,SDT,DAI,SDT,true
DASHEUR,DASH,EUR,DASH,EUR,true
DASHUSD,DASH,USD,DASH,USD,true
DASHXBT,DASH,XBT,DASH,XBT,true
EOSETH,EOS,ETH,EOS,ETH,true
EOSEUR,EOS,EUR,EOS,EUR,true
EOSUSD,EOS,USD,EOS,USD,true
EOSXBT,EOS,XBT,EOS,XBT,true
ETHDAI,ETH,DAI,ETH,DAI,true
GNOETH,GNO,ETH,GNO,ETH,true
GNOEUR,GNO,EUR,GNO,EUR,true
GNOUSD,GNO,USD,GNO,USD,true
GNOXBT,GNO,XBT,GNO,XBT,true
ICXETH,ICX,ETH,ICX,ETH,true
ICXEUR,ICX,EUR,ICX,EUR,true
ICXUSD,ICX,USD,ICX,USD,true
ICXXBT,ICX,XBT,ICX,XBT,true
LINKETH,LINK,ETH,LINK,ETH,true
LINKEUR,LINK,EUR,LINK,EUR,true
LINKUSD,LINK,USD,LINK,USD,true
LINKXBT,LINK,XBT,LINK,XBT,true
LSKETH,LSK,ETH,LSK,ETH,true
LSKEUR,LSK,EUR,LSK,EUR,true
LSKUSD,LSK,USD,LSK,USD,true
LSKXBT,LSK,XBT,LSK,XBT,true
NANOETH,NANO,ETH,NANO,ETH,true
NANOEUR,NANO,EUR,NANO,EUR,true
NANOUSD,NANO,USD,NANO,USD,true
NANOXBT,NANO,XBT,NANO,XBT,true
OMGETH,OMG,ETH,OMG,ETH,true
OMGEUR,OMG,EUR,OMG,EUR,true
OMGUSD,OMG,USD,OMG,USD,true
OMGXBT,OMG,XBT,OMG,XBT,true
PAXGETH,PAXG,ETH,PAXG,ETH,true
PAXGEUR,PAXG,EUR,PAXG,EUR,true
PAXGUSD,PAXG,USD,PAXG,USD,true
PAXGXBT,PAXG,XBT,PAXG,XBT,true
QTUMCAD,QTUM,CAD,QTUM,CAD,false
QTUMETH,QTUM,ETH,QTUM,ETH,true
QTUMEUR,QTUM,EUR,QTUM,EUR,true
QTUMUSD,QTUM,USD,QTUM,USD,true
QTUMXBT,QTUM,XBT,QTUM,XBT,true
SCETH,SC,ETH,SC,ETH,true
SCEUR,SC,EUR,SC,EUR,true
SCUSD,SC,USD,SC,USD,true
SCXBT,SC,XBT,SC,XBT,true
USDTZUSD,USDT,USD,USDT,ZUSD,true
USDTEUR,USDT,EUR,USDT,EUR,true
USDTCAD,USDT,CAD,USDT,CAD,true
USDTGBP,USDT,GBP,USDT,GBP,true
WAVESETH,WAVES,ETH,WAVES,ETH,true
WAVESEUR,WAVES,EUR,WAVES,EUR,true
WAVESUSD,WAVES,USD,WAVES,USD,true
WAVESXBT,WAVES,XBT,WAVES,XBT,true
XETCXETH,ETC,ETH,XETC,XETH,true
XETCXXBT,ETC,XBT,XETC,XXBT,true
XETCZEUR,ETC,EUR,XETC,ZEUR,true
XETCZUSD,ETC,USD,XETC,ZUSD,true
XETHXXBT,ETH,XBT,XETH,XXBT,true
XETHZCAD,ETH,CAD,XETH,ZCAD,true
XETHZEUR,ETH,EUR,XETH,ZEUR,true
XETHZGBP,ETH,GBP,XETH,ZGBP,true
XETHZJPY,ETH,JPY,XETH,ZJPY,true
XETHZUSD,ETH,USD,XETH,ZUSD,true
XETHUSDT,ETH,USDT,XETH,USDT,false
XLTCXXBT,LTC,XBT,XLTC,XXBT,true
XLTCZEUR,LTC,EUR,XLTC,ZEUR,true
XLTCZUSD,LTC,USD,XLTC,ZUSD,true
XMLNXETH,MLN,ETH,XMLN,XETH,true
XMLNXXBT,MLN,XBT,XMLN,XXBT,true
XMLNZEUR,MLN,EUR,XMLN,ZEUR,true
XMLNZUSD,MLN,USD,XMLN,ZUSD,true
XREPXETH,REP,ETH,XREP,XETH,true
XREPXXBT,REP,XBT,XREP,XXBT,true
XREPZEUR,REP,EUR,XREP,ZEUR,true
XREPZUSD,REP,USD,XREP,ZUSD,true
XTZCAD,XTZ,CAD,XTZ,CAD,false
XTZETH,XTZ,ETH,XTZ,ETH,true
XTZEUR,XTZ,EUR,XTZ,EUR,true
XTZUSD,XTZ,USD,XTZ,USD,true
XTZXBT,XTZ,XBT,XTZ,XBT,true
XXBTZCAD,XBT,CAD,XXBT,ZCAD,true
XXBTZEUR,XBT,EUR,XXBT,ZEUR,true
XXBTZGBP,XBT,GBP,XXBT,ZGBP,true
XXBTZJPY,XBT,JPY,XXBT,ZJPY,true
XXBTZUSD,XBT,USD,XXBT,ZUSD,true
XXBTUSDT,XBT,USDT,XXBT,USDT,false
XXBTXDAI,XBT,DAI,XXBT,XDAI,false
XXDGXXBT,XDG,XBT,XXDG,XXBT,true
XXDGZEUR,XDG,EUR,XXDG,ZEUR,false
XXDGZUSD,XDG,USD,XXDG,ZUSD,false
XXLMXXBT,XLM,XBT,XXLM,XXBT,true
XXLMZEUR,XLM,EUR,XXLM,ZEUR,true
XXLMZUSD,XLM,USD,XXLM,ZUSD,true
XXMRXXBT,XMR,XBT,XXMR,XXBT,true
XXMRZEUR,XMR,EUR,XXMR,ZEUR,true
XXMRZUSD,XMR,USD,XXMR,ZUSD,true
XXRPXXBT,XRP,XBT,XXRP,XXBT,true
XXRPZCAD,XRP,CAD,XXRP,ZCAD,true
XXRPZEUR,XRP,EUR,XXRP,ZEUR,true
XXRPZJPY,XRP,JPY,XXRP,ZJPY,true
XXRPZUSD,XRP,USD,XXRP,ZUSD,true
XZECXXBT,ZEC,XBT,XZEC,XXBT,true
XZECZEUR,ZEC,EUR,XZEC,ZEUR,true
XZECZJPY,ZEC,JPY,XZEC,ZJPY,false
XZECZUSD,ZEC,USD,XZEC,ZUSD,true
