order_type,order_type2,algorithm,period,mm,active
buy,,MMEvol,1,1,true
buy,,MMEvol,1,5,true
buy,,MMEvol,1,15,true
buy,,MMEvol,1,30,true
buy,,MMEvol,1,45,true
buy,,MMEvol,1,60,true
buy,,MMEvol,1,75,true
buy,,MMEvol,1,90,true
buy,,MMEvol,1,105,true
buy,,MMEvol,1,120,true
buy,,MMEvol,1,180,true
buy,,MMEvol,1,360,true
buy,,MMEvol,1,540,true
buy,,MMEvol,1,720,true
buy,,MMEvol,1,1440,true
buy,,MMEvol,5,1,true
buy,,MMEvol,5,5,true
buy,,MMEvol,5,15,true
buy,,MMEvol,5,30,true
buy,,MMEvol,5,45,true
buy,,MMEvol,5,60,true
buy,,MMEvol,5,75,true
buy,,MMEvol,5,90,true
buy,,MMEvol,5,105,true
buy,,MMEvol,5,120,true
buy,,MMEvol,5,180,true
buy,,MMEvol,5,360,true
buy,,MMEvol,5,540,true
buy,,MMEvol,5,720,true
buy,,MMEvol,5,1440,true
buy,,MMEvol,15,1,true
buy,,MMEvol,15,5,true
buy,,MMEvol,15,15,true
buy,,MMEvol,15,30,true
buy,,MMEvol,15,45,true
buy,,MMEvol,15,60,true
buy,,MMEvol,15,75,true
buy,,MMEvol,15,90,true
buy,,MMEvol,15,105,true
buy,,MMEvol,15,120,true
buy,,MMEvol,15,180,true
buy,,MMEvol,15,360,true
buy,,MMEvol,15,540,true
buy,,MMEvol,15,720,true
buy,,MMEvol,15,1440,true
buy,,MMEvol,30,1,true
buy,,MMEvol,30,5,true
buy,,MMEvol,30,15,true
buy,,MMEvol,30,30,true
buy,,MMEvol,30,45,true
buy,,MMEvol,30,60,true
buy,,MMEvol,30,75,true
buy,,MMEvol,30,90,true
buy,,MMEvol,30,105,true
buy,,MMEvol,30,120,true
buy,,MMEvol,30,180,true
buy,,MMEvol,30,360,true
buy,,MMEvol,30,540,true
buy,,MMEvol,30,720,true
buy,,MMEvol,30,1440,true
buy,,MMEvol,45,1,true
buy,,MMEvol,45,5,true
buy,,MMEvol,45,15,true
buy,,MMEvol,45,30,true
buy,,MMEvol,45,45,true
buy,,MMEvol,45,60,true
buy,,MMEvol,45,75,true
buy,,MMEvol,45,90,true
buy,,MMEvol,45,105,true
buy,,MMEvol,45,120,true
buy,,MMEvol,45,180,true
buy,,MMEvol,45,360,true
buy,,MMEvol,45,540,true
buy,,MMEvol,45,720,true
buy,,MMEvol,45,1440,true
buy,,MMEvol,60,1,true
buy,,MMEvol,60,5,true
buy,,MMEvol,60,15,true
buy,,MMEvol,60,30,true
buy,,MMEvol,60,45,true
buy,,MMEvol,60,60,true
buy,,MMEvol,60,75,true
buy,,MMEvol,60,90,true
buy,,MMEvol,60,105,true
buy,,MMEvol,60,120,true
buy,,MMEvol,60,180,true
buy,,MMEvol,60,360,true
buy,,MMEvol,60,540,true
buy,,MMEvol,60,720,true
buy,,MMEvol,60,1440,true
buy,,MMEvol,75,1,true
buy,,MMEvol,75,5,true
buy,,MMEvol,75,15,true
buy,,MMEvol,75,30,true
buy,,MMEvol,75,45,true
buy,,MMEvol,75,60,true
buy,,MMEvol,75,75,true
buy,,MMEvol,75,90,true
buy,,MMEvol,75,105,true
buy,,MMEvol,75,120,true
buy,,MMEvol,75,180,true
buy,,MMEvol,75,360,true
